Trial,Status,Final Score,Accuracy,Learning_Rate,Init_Eps,Final_Eps,Eps_Fraction,gamma,target_update_interval,After 200000,After 400000,After 600000,After 800000,After 1000000
24,Completed,24.8,22.8,9.408705676906457e-05,0.03244901097789403,0.00013119371641393552,0.7436122320672295,0.9991936432907141,10213,19.560000000000002,17.74,17.18,27.96,24.8
25,Completed,26.36,24.0,6.227731286894547e-05,0.090644956378397,0.006113092723493887,0.4343179674022213,0.9996760241220395,12152,2.42,5.9,16.74,22.460000000000004,26.36
26,Completed,17.759999999999998,16.0,4.02658877144724e-05,0.042705488275700844,0.0014557877689005037,0.6575585073012166,0.9998038472414046,12235,0.2,3.74,11.24,14.72,17.759999999999998
27,Completed,17.86,16.8,4.7112329580524756e-05,0.013396935703591394,0.001885705385355791,0.957926002532588,0.9997894136636413,3957,21.979999999999997,4.28,14.440000000000001,15.319999999999999,17.86
28,Completed,33.099999999999994,29.799999999999997,7.015137901391002e-05,0.03956671179401286,0.009582494254205307,0.49688959258106347,0.9994810765335282,12049,12.919999999999998,17.68,30.060000000000002,32.76,33.099999999999994
29,Completed,22.9,20.0,9.628208668521377e-05,0.02637037380644624,0.00372889013717764,0.7557071785919891,0.9997480005904228,13868,16.22,23.0,25.0,21.939999999999998,22.9
30,Completed,10.86,9.6,3.723573348042342e-05,0.06726209336583933,0.001057628530242937,0.14138450500837227,0.9998092189503569,9801,0.88,4.22,9.86,14.16,10.86
31,Completed,19.78,18.6,0.00013553118154658645,0.2917137958476667,0.00030804303619322423,0.5015312913034705,0.9998861001223853,4404,0.48000000000000004,0.64,3.4000000000000004,6.7,19.78
32,Completed,34.92,32.6,0.00011399127929808858,0.07887978808063982,0.0023935638664967355,0.8464581061759827,0.9998338383756821,7724,7.8999999999999995,12.759999999999998,29.84,35.620000000000005,34.92
33,Completed,27.12,24.6,4.866070970133456e-05,0.026169135231640547,0.006237970266148416,0.8094904521361895,0.9998648498596926,7760,19.68,17.7,18.86,24.06,27.12
34,Completed,24.14,22.2,0.0002787215123965511,0.054186951615093064,0.0012281164272670716,0.885832998761663,0.9997777188279277,13829,13.98,33.98,35.980000000000004,34.120000000000005,24.14
35,Completed,32.279999999999994,29.799999999999997,6.944658681897254e-05,0.02145664688447216,0.005037423279747285,0.6307906173211655,0.9992705209970804,14350,19.34,16.92,19.36,27.1,32.279999999999994
36,Completed,38.36,34.2,0.00019237732827399743,0.10419970654178608,0.0012395488000842112,0.7039269038501035,0.9995872284956598,9336,9.54,25.699999999999996,27.44,40.3,38.36
37,Completed,27.96,25.8,0.00011140662977851174,0.21523307361352112,0.0014143415394588035,0.777452794540625,0.9995771176818182,7207,1.1,0.46,9.74,19.0,27.96
38,Completed,24.48,22.8,8.930465738569022e-05,0.021178219846095567,0.008417156116832353,0.700806330922736,0.9995917352960573,9488,12.440000000000001,24.480000000000004,25.1,26.120000000000005,24.48
39,Completed,6.380000000000001,5.800000000000001,0.0002998591102694505,0.055495722089010116,0.00041170312315088914,0.6141458511008456,0.9997933608475446,6831,12.080000000000002,31.379999999999995,33.12,13.9,6.380000000000001
40,Completed,36.96,33.4,0.0001229843403055126,0.05817239173957655,0.006823617003042443,0.10844460888126398,0.9991314151450921,13972,17.259999999999998,18.2,24.8,19.92,36.96
41,Completed,9.819999999999999,9.2,8.599865637922326e-05,0.025444658801469646,0.0014588685312600404,0.47921330957265895,0.9990523763086145,10658,17.939999999999998,26.939999999999998,24.380000000000003,12.820000000000002,9.819999999999999
42,Completed,31.479999999999997,28.199999999999996,9.156522019290492e-05,0.07904254530974712,0.000536429523992078,0.7856724048133465,0.9995467877308021,10372,2.2800000000000002,6.360000000000001,18.82,30.719999999999995,31.479999999999997
43,Completed,27.54,25.4,9.237341271179083e-05,0.14209513265314277,0.005138159023481166,0.5393145733796942,0.9995635291538449,11057,1.56,1.9000000000000001,18.12,18.56,27.54
44,Completed,35.02,31.0,0.00021525504369254613,0.13700287368593717,0.0008852455580741576,0.8222449072026885,0.9998378875530097,12855,4.72,15.040000000000001,23.580000000000002,33.68,35.02
45,Completed,37.89999999999999,34.599999999999994,7.093611718225045e-05,0.03465602852043671,0.00017421338863125412,0.9725218105524833,0.9995916479627207,14273,11.98,13.58,17.2,33.24,37.89999999999999
