Trial,Status,Score,Accuracy,Learning_Rate,Init_Eps,Final_Eps,Eps_Fraction,Batch_Size,gamma,target_update_interval
31,Pruned,11.35,2.0,0.00015433082831699374,0.04897751652622357,0.004265780581952686,0.25217772223745627,64,0.9927499679359735,5985
32,Pruned,11.000000000000002,1.3333333333333335,0.0005653774291717524,0.0734860243737651,0.004078962447300225,0.454607030192378,128,0.9977791760920529,5526
33,Pruned,10.8,2.666666666666667,3.4765325088311864e-05,0.061337315559264194,0.00452398374469946,0.4425936169089826,256,0.9997729552040991,9085
34,Pruned,11.15,2.5,9.776944177311138e-05,0.05702765087856766,0.0030105353039076898,0.39858658523230817,128,0.9955111764970689,4080
35,Completed,15.719999999999999,7.8,0.00010459670445982503,0.02233673600547561,0.001420886544003023,0.15245965202471565,64,0.9974914189340051,10112
36,Pruned,8.05,3.0,7.885167695902872e-05,0.014824086640968969,0.006895165776698251,0.21710712692841985,64,0.9934389821810896,4991
37,Pruned,8.35,3.0,3.7481490901706325e-05,0.06436188648261973,0.0026152876546319008,0.3386470333310362,128,0.9954859813073853,1914
38,Pruned,13.05,4.25,8.274886539290713e-05,0.03622575528125862,0.0028313771252564393,0.2412199606635945,64,0.9951396727324724,7603
39,Pruned,10.9,1.5,0.0002786410838495521,0.07764146834949331,0.0063608684357430965,0.3933489227549605,64,0.9949126006726555,7140
40,Pruned,9.25,3.5000000000000004,2.8189905270851798e-05,0.017092366244052026,0.004123402990656647,0.16397629274980352,64,0.9976639803132784,10479
